M1BScarborough(Malvern / Rouge);M1B;Scarborough;Malvern, Rouge
M1CScarborough(Rouge Hill / Port Union / Highland Creek);M1C;Scarborough;Rouge Hill, Port Union, Highland Creek
M1EScarborough(Guildwood / Morningside / West Hill);M1E;Scarborough;Guildwood, Morningside, West Hill
M1GScarborough(Woburn);M1G;Scarborough;Woburn
M1HScarborough(Cedarbrae);M1H;Scarborough;Cedarbrae
M1JScarborough(Scarborough Village);M1J;Scarborough;Scarborough Village
M1KScarborough(Kennedy Park / Ionview / East Birchmount Park);M1K;Scarborough;Kennedy Park, Ionview, East Birchmount Park
M1LScarborough(Golden Mile / Clairlea / Oakridge);M1L;Scarborough;Golden Mile, Clairlea, Oakridge
M1MScarborough(Cliffside / Cliffcrest / Scarborough Village West);M1M;Scarborough;Cliffside, Cliffcrest, Scarborough Village West
M1NScarborough(Birch Cliff / Cliffside West);M1N;Scarborough;Birch Cliff, Cliffside West
M1PScarborough(Dorset Park / Wexford Heights / Scarborough Town Centre);M1P;Scarborough;Dorset Park, Wexford Heights, Scarborough Town Centre
M1RScarborough(Wexford / Maryvale);M1R;Scarborough;Wexford, Maryvale
M1SScarborough(Agincourt);M1S;Scarborough;Agincourt
M1TScarborough(Clarks Corners / Tam O'Shanter / Sullivan);M1T;Scarborough;Clarks Corners, Tam O'Shanter, Sullivan
M1VScarborough(Milliken / Agincourt North / Steeles East / L'Amoreaux East);M1V;Scarborough;Milliken, Agincourt North, Steeles East, L'Amoreaux East
M1WScarborough(Steeles West / L'Amoreaux West);M1W;Scarborough;Steeles West, L'Amoreaux West
M1XScarborough(Upper Rouge);M1X;Scarborough;Upper Rouge
M2HNorth York(Hillcrest Village);M2H;North York;Hillcrest Village
M2JNorth York(Fairview / Henry Farm / Oriole);M2J;North York;Fairview, Henry Farm, Oriole
M2KNorth York(Bayview Village);M2K;North York;Bayview Village
M2LNorth York(York Mills / Silver Hills);M2L;North York;York Mills, Silver Hills
M2MNorth York(Willowdale / Newtonbrook);M2M;North York;Willowdale, Newtonbrook
M2NNorth York(Willowdale)South;M2N;North York;Willowdale
M2PNorth York(York Mills West);M2P;North York;York Mills West
M2RNorth York(Willowdale)West;M2R;North York;Willowdale
M3ANorth York(Parkwoods);M3A;North York;Parkwoods
M3BNorth York(Don Mills)North;M3B;North York;Don Mills
M3CNorth York(Don Mills)South(Flemingdon Park);M3C;North York;Don Mills
M3HNorth York(Bathurst Manor / Wilson Heights / Downsview North);M3H;North York;Bathurst Manor, Wilson Heights, Downsview North
M3JNorth York(Northwood Park / York University);M3J;North York;Northwood Park, York University
M3KNorth York(Downsview)East (CFB Toronto);M3K;North York;Downsview
M3LNorth York(Downsview)West;M3L;North York;Downsview
M3MNorth York(Downsview)Central;M3M;North York;Downsview
M3NNorth York(Downsview)Northwest;M3N;North York;Downsview
M4ANorth York(Victoria Village);M4A;North York;Victoria Village
M4BEast York(Parkview Hill / Woodbine Gardens);M4B;East York;Parkview Hill, Woodbine Gardens
M4CEast York(Woodbine Heights);M4C;East York;Woodbine Heights
M4EEast Toronto(The Beaches);M4E;East Toronto;The Beaches
M4GEast York(Leaside);M4G;East York;Leaside
M4HEast York(Thorncliffe Park);M4H;East York;Thorncliffe Park
M4JEast YorkEast Toronto(The Danforth East);M4J;East YorkEast Toronto;The Danforth East
M4KEast Toronto(The Danforth West / Riverdale);M4K;East Toronto;The Danforth West, Riverdale
M4LEast Toronto(India Bazaar / The Beaches West);M4L;East Toronto;India Bazaar, The Beaches West
M4MEast Toronto(Studio District);M4M;East Toronto;Studio District
M4NCentral Toronto(Lawrence Park);M4N;Central Toronto;Lawrence Park
M4PCentral Toronto(Davisville North);M4P;Central Toronto;Davisville North
M4RCentral Toronto(North Toronto West);M4R;Central Toronto;North Toronto West
M4SCentral Toronto(Davisville);M4S;Central Toronto;Davisville
M4TCentral Toronto(Moore Park / Summerhill East);M4T;Central Toronto;Moore Park, Summerhill East
M4VCentral Toronto(Summerhill West / Rathnelly / South Hill / Forest Hill SE / Deer Park);M4V;Central Toronto;Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park
M4WDowntown Toronto(Rosedale);M4W;Downtown Toronto;Rosedale
M4XDowntown Toronto(St. James Town / Cabbagetown);M4X;Downtown Toronto;St. James Town, Cabbagetown
M4YDowntown Toronto(Church and Wellesley);M4Y;Downtown Toronto;Church and Wellesley
M5ADowntown Toronto(Regent Park / Harbourfront);M5A;Downtown Toronto;Regent Park, Harbourfront
M5BDowntown Toronto(Garden District, Ryerson);M5B;Downtown Toronto;Garden District, Ryerson
M5CDowntown Toronto(St. James Town);M5C;Downtown Toronto;St. James Town
M5EDowntown Toronto(Berczy Park);M5E;Downtown Toronto;Berczy Park
M5GDowntown Toronto(Central Bay Street);M5G;Downtown Toronto;Central Bay Street
M5HDowntown Toronto(Richmond / Adelaide / King);M5H;Downtown Toronto;Richmond, Adelaide, King
M5JDowntown Toronto(Harbourfront East / Union Station / Toronto Islands);M5J;Downtown Toronto;Harbourfront East, Union Station, Toronto Islands
M5KDowntown Toronto(Toronto Dominion Centre / Design Exchange);M5K;Downtown Toronto;Toronto Dominion Centre, Design Exchange
M5LDowntown Toronto(Commerce Court / Victoria Hotel);M5L;Downtown Toronto;Commerce Court, Victoria Hotel
M5MNorth York(Bedford Park / Lawrence Manor East);M5M;North York;Bedford Park, Lawrence Manor East
M5NCentral Toronto(Roselawn);M5N;Central Toronto;Roselawn
M5PCentral Toronto(Forest Hill North & West);M5P;Central Toronto;Forest Hill North & West
M5RCentral Toronto(The Annex / North Midtown / Yorkville);M5R;Central Toronto;The Annex, North Midtown, Yorkville
M5SDowntown Toronto(University of Toronto / Harbord);M5S;Downtown Toronto;University of Toronto, Harbord
M5TDowntown Toronto(Kensington Market / Chinatown / Grange Park);M5T;Downtown Toronto;Kensington Market, Chinatown, Grange Park
M5VDowntown Toronto(CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport);M5V;Downtown Toronto;CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport
M5WDowntown TorontoStn A PO Boxes25 The Esplanade(Enclave of M5E);M5W;Downtown TorontoStn A PO Boxes25 The Esplanade;Enclave of M5E
M5XDowntown Toronto(First Canadian Place / Underground city);M5X;Downtown Toronto;First Canadian Place, Underground city
M6ANorth York(Lawrence Manor / Lawrence Heights);M6A;North York;Lawrence Manor, Lawrence Heights
M6BNorth York(Glencairn);M6B;North York;Glencairn
M6CYork(Humewood-Cedarvale);M6C;York;Humewood-Cedarvale
