Postal Code;Borough;Neighborhood;Latitude;Longitude;Cluster Labels;1st Most Common Venue;2nd Most Common Venue;3rd Most Common Venue;4th Most Common Venue;5th Most Common Venue;6th Most Common Venue;7th Most Common Venue;8th Most Common Venue;9th Most Common Venue;10th Most Common Venue
M1B;Scarborough;Malvern, Rouge;43.806686299999996;-79.19435340000001;3.0;Fast Food Restaurant;Trail;Spa;Martial Arts School;Paper / Office Supplies Store;Hobby Shop;Coffee Shop;Comic Shop;Eastern European Restaurant;Dog Run
M1C;Scarborough;Rouge Hill, Port Union, Highland Creek;43.7845351;-79.16049709999999;0.0;Breakfast Spot;Burger Joint;Italian Restaurant;Bar;Yoga Studio;Eastern European Restaurant;Doner Restaurant;Donut Shop;Drugstore;Dry Cleaner
M1E;Scarborough;Guildwood, Morningside, West Hill;43.7635726;-79.1887115;3.0;Fast Food Restaurant;Restaurant;Pizza Place;Sports Bar;Beer Store;Bank;Fried Chicken Joint;Greek Restaurant;Yoga Studio;Dry Cleaner
M1G;Scarborough;Woburn;43.7709921;-79.21691740000001;1.0;Park;Coffee Shop;Business Service;Dumpling Restaurant;Distribution Center;Dive Bar;Dog Run;Doner Restaurant;Donut Shop;Drugstore
M1H;Scarborough;Cedarbrae;43.773136;-79.23947609999999;0.0;Coffee Shop;Indian Restaurant;Yoga Studio;Pharmacy;Flower Shop;Burger Joint;Fried Chicken Joint;Bank;Bakery;Thai Restaurant
M1J;Scarborough;Scarborough Village;43.7447342;-79.23947609999999;3.0;Ice Cream Shop;Fast Food Restaurant;Restaurant;Sandwich Place;Playground;Convenience Store;Pizza Place;Coffee Shop;Escape Room;Falafel Restaurant
M1K;Scarborough;Kennedy Park, Ionview, East Birchmount Park;43.7279292;-79.26202940000002;3.0;Coffee Shop;Convenience Store;Rental Car Location;Pharmacy;Sandwich Place;Department Store;Light Rail Station;Intersection;Metro Station;Bank
M1L;Scarborough;Golden Mile, Clairlea, Oakridge;43.711111700000004;-79.2845772;6.0;Intersection;Bakery;Coffee Shop;Bus Line;Bus Station;Park;Convenience Store;Metro Station;Ice Cream Shop;Soccer Field
M1M;Scarborough;Cliffside, Cliffcrest, Scarborough Village West;43.716316;-79.23947609999999;3.0;Wings Joint;Auto Garage;Restaurant;Pizza Place;Chinese Restaurant;Yoga Studio;Dumpling Restaurant;Distribution Center;Dive Bar;Dog Run
M1N;Scarborough;Birch Cliff, Cliffside West;43.692657000000004;-79.2648481;6.0;Park;College Stadium;Thai Restaurant;General Entertainment;Café;Skating Rink;Diner;Electronics Store;Eastern European Restaurant;Dumpling Restaurant
